Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\AuditLogger.java,3,9,All methods are static. Consider adding a private no-args constructor to prevent instantiation.,Design,UseUtilityClass
2,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\AuditLogger.java,2,36,Logger calls should be surrounded by log level guards.,Best Practices,GuardLogStatement
3,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\AuditLogger.java,2,41,Logger calls should be surrounded by log level guards.,Best Practices,GuardLogStatement
4,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\AuditLogger.java,2,46,Logger calls should be surrounded by log level guards.,Best Practices,GuardLogStatement
1,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,5,All methods are static. Consider adding a private no-args constructor to prevent instantiation.,Design,UseUtilityClass
2,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,50,"Switch statements or expressions should be exhaustive, add a default case (or missing enum branches)",Best Practices,NonExhaustiveSwitch
3,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,71,This statement should have braces,Code Style,ControlStatementBraces
4,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,101,This statement should have braces,Code Style,ControlStatementBraces
5,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,102,This statement should have braces,Code Style,ControlStatementBraces
6,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,103,This statement should have braces,Code Style,ControlStatementBraces
7,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,104,This statement should have braces,Code Style,ControlStatementBraces
8,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,111,"When doing a String.toLowerCase()/toUpperCase() call, use a Locale",Error Prone,UseLocaleWithCaseConversions
9,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,113,"Switch statements or expressions should be exhaustive, add a default case (or missing enum branches)",Best Practices,NonExhaustiveSwitch
10,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,145,"When doing a String.toLowerCase()/toUpperCase() call, use a Locale",Error Prone,UseLocaleWithCaseConversions
11,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,147,"Switch statements or expressions should be exhaustive, add a default case (or missing enum branches)",Best Practices,NonExhaustiveSwitch
12,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,155,This statement should have braces,Code Style,ControlStatementBraces
13,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,156,This statement should have braces,Code Style,ControlStatementBraces
14,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,164,This statement should have braces,Code Style,ControlStatementBraces
15,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,165,This statement should have braces,Code Style,ControlStatementBraces
16,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,200,"When doing a String.toLowerCase()/toUpperCase() call, use a Locale",Error Prone,UseLocaleWithCaseConversions
17,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,202,Position literals first in String comparisons,Best Practices,LiteralsFirstInComparisons
18,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,202,This statement should have braces,Code Style,ControlStatementBraces
19,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,203,Position literals first in String comparisons,Best Practices,LiteralsFirstInComparisons
20,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,207,Position literals first in String comparisons,Best Practices,LiteralsFirstInComparisons
21,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,212,This statement should have braces,Code Style,ControlStatementBraces
22,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,213,This statement should have braces,Code Style,ControlStatementBraces
23,org.example,C:\Users\yfeer\IdeaProjects\javaproject\src\main\java\org\example\Main.java,3,222,"When doing a String.toLowerCase()/toUpperCase() call, use a Locale",Error Prone,UseLocaleWithCaseConversions
